account_id,user_id,account_type,balance,kyc_verified,account_age_days
A1,U1,savings,244465,1,782
A2,U1,current,456249,0,782
A3,U2,savings,22496,0,1775
A4,U2,current,29664,0,1775
A5,U3,savings,78744,0,1809
A6,U4,savings,295317,0,826
A7,U5,current,306659,1,1389
A8,U5,current,174476,0,1389
A9,U6,current,190540,0,1501
A10,U7,savings,236112,1,1703
A11,U7,current,456435,1,1703
A12,U8,current,531720,0,1631
A13,U9,savings,186815,0,212
A14,U9,savings,79440,0,212
A15,U10,current,345828,1,1683
A16,U11,current,43916,1,868
A17,U12,current,628661,0,1514
A18,U13,current,126930,0,383
A19,U13,savings,187267,0,383
A20,U14,current,331743,0,121
A21,U15,current,58922,0,1260
A22,U16,savings,363169,1,1712
A23,U17,savings,178091,1,1369
A24,U17,savings,261302,1,1369
A25,U18,current,22499,1,1438
A26,U19,current,229665,1,666
A27,U19,savings,179843,0,666
A28,U20,savings,179357,0,777
A29,U20,savings,231636,0,777
A30,U21,savings,43223,0,32
A31,U21,savings,212327,0,32
A32,U22,current,259993,0,851
A33,U23,current,128269,0,606
A34,U24,current,13783,0,1526
A35,U24,current,14217,0,1526
A36,U25,savings,6671,0,1906
A37,U26,savings,693824,1,1919
A38,U26,savings,548402,1,1919
A39,U27,savings,401928,0,1234
A40,U28,savings,56595,1,351
A41,U29,current,344774,0,323
A42,U30,savings,78014,1,1076
A43,U31,savings,237478,0,147
A44,U31,current,279673,0,147
A45,U32,current,748234,0,369
A46,U33,savings,33367,1,742
A47,U34,savings,13175,1,390
A48,U34,current,52549,0,390
A49,U35,current,213462,1,205
A50,U35,current,165331,0,205
A51,U36,savings,97251,0,902
A52,U37,current,257620,0,1546
A53,U37,savings,152684,1,1546
A54,U38,current,171311,1,1728
A55,U38,current,409268,0,1728
A56,U39,current,205443,1,562
A57,U39,savings,198947,0,562
A58,U40,savings,301827,1,1172
A59,U41,savings,93462,1,1499
A60,U42,current,594576,1,1402
A61,U42,current,121541,0,1402
A62,U43,current,5449,1,785
A63,U44,current,161915,0,1180
A64,U44,savings,41880,1,1180
A65,U45,savings,8015,0,1754
A66,U45,current,63194,0,1754
A67,U46,savings,399330,0,1030
A68,U47,savings,288527,0,1411
A69,U47,savings,197121,1,1411
A70,U48,current,128878,1,516
A71,U49,savings,50907,0,1737
A72,U49,savings,108949,1,1737
A73,U50,savings,54399,0,1858
A74,U51,savings,11231,1,1656
A75,U52,savings,46232,0,1412
A76,U52,savings,58241,0,1412
A77,U53,current,192766,1,122
A78,U54,savings,33900,0,1923
A79,U54,savings,38311,1,1923
A80,U55,savings,17370,0,398
A81,U56,savings,48574,1,1880
A82,U56,savings,20095,1,1880
A83,U57,current,204993,0,1229
A84,U57,savings,228887,1,1229
A85,U58,savings,74524,1,1556
A86,U59,current,6978,0,107
A87,U59,current,21475,1,107
A88,U60,current,38163,1,402
A89,U61,savings,39872,0,1564
A90,U61,current,80845,0,1564
A91,U62,savings,56393,1,1901
A92,U62,savings,42925,1,1901
A93,U63,current,20591,1,1557
A94,U64,savings,8394,1,992
A95,U65,current,14302,0,1199
A96,U66,savings,67458,1,1116
A97,U67,current,53671,1,1349
A98,U67,savings,49765,0,1349
A99,U68,savings,266426,0,1265
A100,U68,current,561920,1,1265
A101,U69,savings,422945,0,839
A102,U70,savings,47064,1,904
A103,U71,savings,24237,0,82
A104,U72,savings,515405,1,1926
A105,U73,savings,156795,1,1629
A106,U74,savings,27738,1,228
A107,U74,current,15099,0,228
A108,U75,current,369340,1,189
A109,U76,savings,199193,0,707
A110,U77,current,840253,0,1232
A111,U77,current,910557,1,1232
A112,U78,savings,14572,1,1919
A113,U78,current,9870,0,1919
A114,U79,current,54052,1,1668
A115,U79,savings,251793,1,1668
A116,U80,savings,201689,1,270
A117,U80,savings,72739,0,270
A118,U81,savings,33613,0,1870
A119,U81,savings,22716,0,1870
A120,U82,current,43085,0,1941
A121,U82,savings,92686,1,1941
A122,U83,current,62224,1,1775
A123,U84,current,505604,1,1598
A124,U85,current,445941,0,978
A125,U86,current,55284,0,431
A126,U87,savings,237761,0,1928
A127,U88,savings,7043,1,1411
A128,U89,savings,146623,1,1303
A129,U90,current,47552,0,1511
A130,U91,savings,68350,0,1642
A131,U91,current,72215,0,1642
A132,U92,savings,526150,0,833
A133,U93,savings,251553,1,1953
A134,U93,current,428030,1,1953
A135,U94,current,188663,0,309
A136,U95,savings,15396,0,650
A137,U96,current,93157,1,1275
A138,U97,current,91204,1,684
A139,U97,current,445491,1,684
A140,U98,current,96104,0,1707
A141,U98,current,102766,1,1707
A142,U99,current,32797,0,1879
A143,U100,savings,116911,1,1277
A144,U101,current,188050,0,1189
A145,U101,savings,170679,1,1189
A146,U102,current,377069,0,154
A147,U103,savings,666792,0,577
A148,U104,savings,11995,1,990
A149,U105,current,832928,0,1657
A150,U105,current,242916,1,1657
A151,U106,savings,115652,0,1508
A152,U107,savings,159788,0,184
A153,U108,savings,41935,1,1423
A154,U108,current,170173,0,1423
A155,U109,current,4935,1,1236
A156,U110,current,135547,1,165
A157,U110,current,106712,1,165
A158,U111,current,296179,1,1105
A159,U111,current,267886,0,1105
A160,U112,savings,63668,0,1225
A161,U113,savings,529053,0,1842
A162,U114,current,281740,0,573
A163,U114,current,462242,0,573
A164,U115,savings,573673,0,988
A165,U115,current,278656,1,988
A166,U116,savings,110018,1,676
A167,U116,savings,623284,1,676
A168,U117,savings,103489,0,504
A169,U117,current,293917,0,504
A170,U118,savings,4522,0,1869
A171,U118,current,16203,1,1869
A172,U119,current,121944,1,907
A173,U120,savings,273330,0,863
A174,U120,savings,607049,1,863
A175,U121,current,34729,1,79
A176,U121,savings,24988,1,79
A177,U122,savings,13984,1,1951
A178,U123,savings,226437,1,857
A179,U124,savings,45627,1,556
A180,U125,savings,103286,0,1395
A181,U126,current,77339,0,1919
A182,U126,savings,142022,1,1919
A183,U127,current,26466,0,1597
A184,U128,savings,324410,0,1384
A185,U128,savings,80417,0,1384
A186,U129,current,279480,0,804
A187,U130,current,77375,0,1348
A188,U131,savings,64637,0,440
A189,U131,current,68149,0,440
A190,U132,current,27432,0,1827
A191,U132,current,167345,0,1827
A192,U133,current,384119,1,729
A193,U134,savings,344928,0,1777
A194,U135,savings,939268,0,967
A195,U136,current,34759,0,779
A196,U137,current,105121,0,1770
A197,U137,current,138687,0,1770
A198,U138,savings,15754,1,837
A199,U139,savings,218153,0,2000
A200,U140,current,326995,1,1787
A201,U140,current,99233,0,1787
A202,U141,current,38181,1,1233
A203,U142,current,184780,1,826
A204,U142,current,28712,0,826
A205,U143,current,155904,0,477
A206,U143,savings,20445,0,477
A207,U144,current,567165,1,1715
A208,U144,savings,260858,1,1715
A209,U145,current,74142,1,1324
A210,U146,savings,12902,0,1962
A211,U146,savings,12408,0,1962
A212,U147,current,178296,0,697
A213,U147,savings,169931,1,697
A214,U148,current,140695,0,970
A215,U148,current,354733,0,970
A216,U149,current,337167,1,1222
A217,U150,savings,411048,0,88
A218,U150,current,55636,1,88
A219,U151,savings,30582,1,561
A220,U152,savings,67926,0,1622
A221,U153,current,186661,1,1701
A222,U153,current,210425,1,1701
A223,U154,savings,49916,1,1553
A224,U154,savings,26475,0,1553
A225,U155,current,67365,0,1325
A226,U155,savings,148478,1,1325
A227,U156,current,33011,1,1978
A228,U157,savings,31841,1,1224
A229,U157,savings,20684,1,1224
A230,U158,current,272056,1,751
A231,U159,savings,295099,0,80
A232,U159,savings,387064,0,80
A233,U160,current,9582,0,700
A234,U161,current,69778,1,1999
A235,U162,savings,123902,1,834
A236,U163,savings,4462,0,149
A237,U164,savings,317492,1,1442
A238,U165,savings,15876,1,1508
A239,U165,savings,20757,1,1508
A240,U166,current,74885,0,1778
A241,U166,current,22334,0,1778
A242,U167,current,431269,1,1197
A243,U168,savings,344846,1,1111
A244,U169,savings,79600,1,963
A245,U169,savings,212476,1,963
A246,U170,savings,422865,1,857
A247,U170,current,731951,0,857
A248,U171,current,339223,0,679
A249,U172,savings,398941,0,94
A250,U173,savings,6039,1,1401
A251,U173,current,8167,0,1401
A252,U174,savings,166645,1,364
A253,U174,current,58188,1,364
A254,U175,savings,37726,0,483
A255,U176,savings,547731,1,86
A256,U176,current,144265,0,86
A257,U177,current,115674,0,1323
A258,U178,savings,77360,0,551
A259,U178,savings,76784,1,551
A260,U179,current,63158,1,743
A261,U180,current,92221,0,262
A262,U180,savings,38993,0,262
A263,U181,current,11657,1,1130
A264,U181,savings,8367,0,1130
A265,U182,current,4074,0,795
A266,U182,current,15039,1,795
A267,U183,savings,50324,0,552
A268,U183,current,60412,0,552
A269,U184,current,5009,0,891
A270,U184,savings,8469,0,891
A271,U185,savings,15222,1,1082
A272,U185,savings,13653,0,1082
A273,U186,savings,23694,0,615
A274,U187,current,17613,0,1955
A275,U187,savings,20393,1,1955
A276,U188,current,80050,1,443
A277,U188,current,13730,0,443
A278,U189,current,38218,0,1134
A279,U190,savings,61943,1,1805
A280,U191,savings,94302,0,1860
A281,U192,current,353264,0,793
A282,U193,current,58594,0,125
A283,U194,current,167757,0,1310
A284,U194,current,36853,1,1310
A285,U195,current,69592,1,1013
A286,U195,current,242000,0,1013
A287,U196,current,74839,1,162
A288,U197,current,36477,1,1172
A289,U198,current,82201,0,1553
A290,U198,current,129963,1,1553
A291,U199,current,231140,1,1190
A292,U200,current,328705,1,61
