txn_id,account_id,user_id,amount,merchant_category,txn_time,txn_location,is_international,status,is_fraud
T1,A2,U1,3662.81,electronics,2026-01-23 21:39:58.249568,Delhi,0,success,0
T2,A2,U1,6554.68,travel,2025-12-26 11:39:58.249568,Bangalore,0,success,0
T3,A1,U1,2319.51,entertainment,2026-02-15 21:39:58.249568,Bangalore,1,success,0
T4,A2,U1,1331.48,groceries,2025-12-29 21:39:58.249568,Bangalore,0,success,0
T5,A1,U1,3727.33,travel,2026-01-11 11:39:58.249568,Mumbai,0,success,0
T6,A1,U1,3099.61,groceries,2026-01-02 21:39:58.249568,Delhi,0,success,0
T7,A1,U1,6105.44,electronics,2026-01-09 21:39:58.249568,Kanpur,0,success,0
T8,A2,U1,6966.66,entertainment,2026-01-17 21:39:58.249568,Mumbai,0,success,0
T9,A2,U1,4208.55,shopping,2026-02-04 21:39:58.249568,Bangalore,0,success,0
T10,A2,U1,6213.89,electronics,2026-01-11 18:39:58.249568,Pune,0,success,0
T11,A1,U1,1481.86,groceries,2025-12-22 11:39:58.249568,Kanpur,0,success,0
T12,A1,U1,3050.85,travel,2026-01-26 21:39:58.249568,Bangalore,0,success,0
T13,A2,U1,2332.46,electronics,2026-01-30 21:39:58.249568,Kanpur,0,success,0
T14,A2,U1,7146.39,travel,2026-01-14 21:39:58.249568,Hyderabad,0,success,0
T15,A2,U1,9631.51,electronics,2026-02-18 21:39:58.249568,Mumbai,0,success,0
T16,A1,U1,12944.8,groceries,2026-02-07 21:39:58.249568,Pune,0,success,0
T17,A2,U1,3183.98,groceries,2026-01-23 21:39:58.249568,Delhi,0,success,0
T18,A2,U1,2712.37,shopping,2026-02-09 18:39:58.249568,Kanpur,0,success,0
T19,A1,U1,6431.15,entertainment,2026-01-24 21:39:58.249568,Mumbai,0,success,0
T20,A1,U1,5061.5,food,2026-01-03 21:39:58.249568,Bangalore,0,success,0
T21,A2,U1,3696.7,food,2026-01-07 21:39:58.249568,Delhi,0,success,0
T22,A1,U1,9184.89,groceries,2026-02-15 23:39:58.249568,Mumbai,0,success,0
T23,A2,U1,7210.93,shopping,2026-02-01 21:39:58.249568,Kanpur,0,success,0
T24,A2,U1,10539.74,shopping,2026-02-10 21:39:58.249568,Kanpur,1,success,0
T25,A2,U1,6234.29,groceries,2026-02-05 21:39:58.249568,Hyderabad,0,success,0
T26,A2,U1,235.87,food,2026-01-28 21:39:58.249568,Pune,0,success,0
T27,A2,U1,4768.6,food,2026-01-02 21:39:58.249568,Kanpur,0,success,0
T28,A2,U1,5126.73,shopping,2026-01-24 19:39:58.249568,Pune,0,success,0
T29,A2,U1,10343.26,shopping,2026-01-17 23:39:58.249568,Delhi,0,success,0
T30,A1,U1,5571.81,groceries,2025-12-28 21:39:58.249568,Kanpur,0,success,0
T31,A2,U1,5296.45,shopping,2026-02-11 21:39:58.249568,Mumbai,1,success,0
T32,A1,U1,8120.6,travel,2026-02-01 13:39:58.249568,Hyderabad,0,success,0
T33,A1,U1,999.56,travel,2026-01-19 11:39:58.249568,Pune,0,success,0
T34,A2,U1,8445.63,electronics,2026-02-05 21:39:58.249568,Pune,0,success,0
T35,A2,U1,4165.45,entertainment,2025-12-30 21:39:58.249568,Mumbai,0,success,0
T36,A2,U1,26675.88594697965,shopping,2026-02-03 21:39:58.249568,Dubai,1,success,1
T37,A1,U1,7072.05,entertainment,2026-02-05 13:39:58.249568,Pune,1,success,0
T38,A1,U1,6196.36,food,2026-01-23 21:39:58.249568,Bangalore,0,success,0
T39,A1,U1,5498.69,groceries,2026-01-19 21:39:58.249568,Delhi,0,success,0
T40,A2,U1,8067.91,food,2026-01-06 04:39:58.249568,Bangalore,1,success,0
T41,A2,U1,7147.4,travel,2025-12-22 21:39:58.249568,Pune,0,success,0
T42,A1,U1,3151.1,entertainment,2026-02-03 21:39:58.249568,Pune,1,success,0
T43,A1,U1,10179.08,travel,2026-01-04 21:39:58.249568,Delhi,0,success,0
T44,A2,U1,2480.18,shopping,2026-01-30 21:39:58.249568,Bangalore,0,success,0
T45,A2,U1,2688.16,electronics,2025-12-31 21:39:58.249568,Mumbai,0,success,0
T46,A1,U1,984.91,travel,2026-01-05 21:39:58.249568,Mumbai,0,success,0
T47,A1,U1,7289.71,food,2026-01-14 06:39:58.249568,Mumbai,0,success,0
