user_id,age,employment_type,income,credit_score,risk_profile,home_location,account_created_at
U1,40,self-employed,112942,611,medium,Mumbai,2023-12-31 22:39:56.896382
U2,62,student,10066,328,high,Mumbai,2021-04-12 22:39:56.896382
U3,59,salaried,75331,547,high,Hyderabad,2021-03-09 22:39:56.896382
U4,54,self-employed,79760,532,high,Delhi,2023-11-17 22:39:56.896382
U5,34,salaried,100577,612,medium,Bangalore,2022-05-03 22:39:56.897382
U6,41,salaried,91688,546,high,Mumbai,2022-01-11 22:39:56.897382
U7,49,self-employed,192602,843,low,Kanpur,2021-06-23 22:39:56.897382
U8,38,self-employed,154783,800,low,Kanpur,2021-09-03 22:39:56.897382
U9,57,salaried,46676,479,high,Delhi,2025-07-23 22:39:56.897382
U10,30,self-employed,125393,693,medium,Mumbai,2021-07-13 22:39:56.897382
U11,46,student,14230,355,high,Delhi,2023-10-06 22:39:56.897382
U12,44,self-employed,172264,824,low,Bangalore,2021-12-29 22:39:56.897382
U13,46,salaried,38224,457,high,Delhi,2025-02-02 22:39:56.897382
U14,26,salaried,90319,535,high,Hyderabad,2025-10-22 22:39:56.897382
U15,36,student,15224,382,high,Mumbai,2022-09-09 22:39:56.897382
U16,24,self-employed,108716,605,medium,Delhi,2021-06-14 22:39:56.897382
U17,23,salaried,60220,473,high,Bangalore,2022-05-23 22:39:56.897382
U18,42,student,5789,362,high,Hyderabad,2022-03-15 22:39:56.897382
U19,44,salaried,104476,565,high,Hyderabad,2024-04-25 22:39:56.897382
U20,40,salaried,74076,503,high,Delhi,2024-01-05 22:39:56.897382
U21,54,salaried,53817,435,high,Pune,2026-01-19 22:39:56.897382
U22,43,salaried,74915,530,high,Kanpur,2023-10-23 22:39:56.897382
U23,34,salaried,113069,685,medium,Delhi,2024-06-24 22:39:56.897382
U24,34,student,5957,334,high,Kanpur,2021-12-17 22:39:56.897382
U25,29,student,9836,369,high,Bangalore,2020-12-02 22:39:56.897382
U26,51,self-employed,184099,866,low,Delhi,2020-11-19 22:39:56.897382
U27,36,self-employed,81425,575,high,Kanpur,2022-10-05 22:39:56.897382
U28,24,salaried,28966,360,high,Mumbai,2025-03-06 22:39:56.897382
U29,53,self-employed,99062,634,medium,Bangalore,2025-04-03 22:39:56.897382
U30,23,student,16856,396,high,Mumbai,2023-03-12 22:39:56.897382
U31,59,self-employed,103950,568,high,Bangalore,2025-09-26 22:39:56.897382
U32,32,self-employed,159000,822,low,Hyderabad,2025-02-16 22:39:56.897382
U33,61,student,17578,353,high,Delhi,2024-02-09 22:39:56.897382
U34,46,student,15219,368,high,Hyderabad,2025-01-26 22:39:56.897382
U35,64,self-employed,93239,537,high,Kanpur,2025-07-30 22:39:56.897382
U36,30,salaried,100830,579,high,Bangalore,2023-09-02 22:39:56.897382
U37,62,salaried,86215,599,high,Pune,2021-11-27 22:39:56.897382
U38,35,self-employed,189347,880,low,Pune,2021-05-29 22:39:56.897382
U39,55,salaried,84936,531,high,Mumbai,2024-08-07 22:39:56.897382
U40,55,salaried,107436,645,medium,Mumbai,2022-12-06 22:39:56.897382
U41,22,salaried,62231,453,high,Mumbai,2022-01-13 22:39:56.897382
